playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Andrew Vaughn,CWS,570,.246,.297,.402,.699
Andrew Benintendi,CWS,477,.229,.289,.396,.685
Gavin Sheets,CWS,451,.233,.303,.357,.660
Nicky Lopez,CWS,398,.241,.312,.294,.606
Luis Robert Jr.,CWS,393,.224,.278,.379,.657
Korey Lee,CWS,377,.210,.244,.347,.591
Lenyn Sosa,CWS,351,.254,.283,.359,.642
Nick Senzel,CWS,236,.195,.283,.331,.614
Dominic Fletcher,CWS,223,.206,.252,.256,.508
Miguel Vargas,CWS,206,.150,.249,.257,.506
Corey Julks,CWS,173,.214,.275,.306,.581
