playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Magglio Ordonez,CWS,590,.320,.381,.597,.978
Paul Konerko,CWS,570,.304,.359,.498,.857
Frank Thomas,CWS,523,.252,.361,.472,.833
Carlos Lee,CWS,492,.264,.359,.484,.843
Jose Valentin,CWS,474,.249,.311,.479,.790
D'Angelo Jimenez,CWS,429,.252,.330,.347,.677
Royce Clayton,CWS,342,.251,.295,.365,.660
Aaron Rowand,CWS,302,.258,.298,.394,.692
Mark Johnson,CWS,263,.209,.297,.293,.590
Tony Graffanino,CWS,229,.262,.329,.428,.757
Jeff Liefer,CWS,204,.230,.295,.373,.668
