playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Starlin Castro,CHC,646,.283,.323,.430,.753
Alfonso Soriano,CHC,561,.262,.322,.499,.821
Darwin Barney,CHC,548,.254,.299,.354,.653
David DeJesus,CHC,506,.263,.350,.403,.753
Bryan LaHair,CHC,340,.259,.334,.450,.784
Anthony Rizzo,CHC,337,.285,.342,.463,.805
Luis Valbuena,CHC,265,.219,.310,.340,.650
Joe Mather,CHC,225,.209,.256,.324,.580
Steve Clevenger,CHC,199,.201,.260,.276,.536
Ian Stewart,CHC,179,.201,.292,.335,.627
Tony Campana,CHC,174,.264,.308,.299,.607
