playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Evan Longoria,TB,633,.273,.318,.521,.839
Brad Miller,TB,548,.243,.304,.482,.786
Logan Forsythe,TB,511,.264,.333,.444,.777
Corey Dickerson,TB,510,.245,.293,.469,.762
Alexei Ramirez,TB,478,.241,.277,.333,.610
Steven Souza Jr.,TB,430,.247,.303,.409,.712
Kevin Kiermaier,TB,366,.246,.331,.410,.741
Logan Morrison,TB,353,.238,.319,.414,.733
Matt Duffy,TB,333,.258,.310,.357,.667
Bobby Wilson,TB,228,.237,.270,.355,.625
Curt Casali,TB,226,.186,.273,.336,.609
