playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Evan Longoria,TB,604,.270,.328,.435,.763
Logan Forsythe,TB,540,.281,.359,.444,.803
Asdrúbal Cabrera,TB,505,.265,.315,.430,.745
Kevin Kiermaier,TB,505,.263,.298,.420,.718
Steven Souza Jr.,TB,373,.225,.318,.399,.717
James Loney,TB,361,.280,.322,.357,.679
Brandon Guyer,TB,332,.265,.359,.413,.772
René Rivera,TB,298,.178,.213,.275,.488
Grady Sizemore,TB,273,.253,.307,.381,.688
Joey Butler,TB,257,.276,.326,.416,.742
Tim Beckham,TB,203,.222,.274,.429,.703
