playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Shohei Ohtani,LAD,636,.310,.390,.646,1.036
Teoscar Hernández,LAD,589,.272,.339,.501,.840
Freddie Freeman,LAD,542,.282,.378,.476,.854
Will Smith,LAD,476,.248,.327,.433,.760
Mookie Betts,LAD,450,.289,.372,.491,.863
Gavin Lux,LAD,439,.251,.320,.383,.703
Andy Pages,LAD,403,.248,.305,.407,.712
Enrique Hernández,LAD,362,.229,.281,.373,.654
Miguel Rojas,LAD,307,.283,.337,.410,.747
Kevin Kiermaier,LAD,259,.197,.237,.313,.550
Max Muncy,LAD,237,.232,.358,.494,.852
