playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Adrián González,LAD,583,.293,.342,.461,.803
Michael Young,LAD,519,.279,.335,.395,.730
Andre Ethier,LAD,482,.272,.360,.423,.783
Carl Crawford,LAD,435,.283,.329,.407,.736
Mark Ellis,LAD,433,.270,.323,.351,.674
A.J. Ellis,LAD,390,.238,.318,.364,.682
Juan Uribe,LAD,388,.278,.331,.438,.769
Yasiel Puig,LAD,382,.319,.391,.534,.925
Skip Schumaker,LAD,319,.263,.332,.332,.664
Hanley Ramirez,LAD,304,.345,.402,.638,1.040
Nick Punto,LAD,294,.255,.328,.327,.655
