playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Alfonso Soriano,CHC,579,.299,.337,.560,.897
Derrek Lee,CHC,567,.317,.400,.513,.913
Ryan Theriot,CHC,537,.266,.326,.346,.672
Aramis Ramirez,CHC,506,.310,.366,.549,.915
Mark DeRosa,CHC,502,.293,.371,.420,.791
Jason Kendall,CHC,466,.242,.301,.309,.610
Jacque Jones,CHC,453,.285,.335,.400,.735
Craig Monroe,CHC,392,.219,.268,.370,.638
Cliff Floyd,CHC,282,.284,.373,.422,.795
Matt Murton,CHC,235,.281,.352,.438,.790
Mike Fontenot,CHC,234,.278,.336,.402,.738
