playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Kris Bryant,CHC,603,.292,.385,.554,.939
Anthony Rizzo,CHC,583,.292,.385,.544,.929
Jason Heyward,CHC,530,.230,.306,.325,.631
Addison Russell,CHC,525,.238,.321,.417,.738
Ben Zobrist,CHC,523,.272,.386,.446,.832
Dexter Fowler,CHC,456,.276,.393,.447,.840
Javier Báez,CHC,421,.273,.314,.423,.737
Chris Coghlan,CHC,261,.188,.290,.318,.608
Willson Contreras,CHC,252,.282,.357,.488,.845
Miguel Montero,CHC,241,.216,.327,.357,.684
Jorge Soler,CHC,227,.238,.333,.436,.769
