playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
José Abreu,CWS,624,.293,.353,.468,.821
Adam Eaton,CWS,619,.284,.362,.428,.790
Melky Cabrera,CWS,591,.296,.345,.455,.800
Todd Frazier,CWS,590,.225,.302,.464,.766
Avisaíl García,CWS,413,.245,.307,.385,.692
Tim Anderson,CWS,410,.283,.306,.432,.738
Brett Lawrie,CWS,351,.248,.310,.413,.723
Tyler Saladino,CWS,298,.282,.315,.409,.724
JB Shuck,CWS,224,.205,.248,.299,.547
Justin Morneau,CWS,203,.261,.303,.429,.732
Austin Jackson,CWS,181,.254,.318,.343,.661
