playerFullName,teamAbbrev,atBats,AVG,OBP,SLG,OPS
Corey Seager,LAD,627,.308,.365,.512,.877
Adrián González,LAD,568,.285,.349,.435,.784
Justin Turner,LAD,556,.275,.339,.493,.832
Chase Utley,LAD,512,.252,.319,.396,.715
Howie Kendrick,LAD,487,.255,.326,.366,.692
Joc Pederson,LAD,406,.246,.352,.495,.847
Josh Reddick,LAD,398,.281,.345,.405,.750
Yasmani Grandal,LAD,390,.228,.339,.477,.816
Yasiel Puig,LAD,334,.263,.323,.416,.739
Trayce Thompson,LAD,236,.225,.302,.436,.738
Enrique Hernández,LAD,216,.190,.283,.324,.607
